T04312136/TSK,日本ｽﾄﾗα円,G09268,日本株ストラテジーα 日本円（毎月）,
T59312028/TSK,好配当利回,G04847,しんきん好配当利回り株ファンド,
T2031398C/TSK,日本株式,G01748,シュローダー日本株式オープン,
T10311996/TSK,RAO,G01107,大同リサーチ＆アクティブオープン,
T04311153/TSK,椿,G10847,女性活躍応援ファンド,
T58311138/TSK,Rのﾁｶﾗ･ｵｰﾌﾟﾝ,G09347,りそな日本株リサーチ戦略Ｆ（オープン型,
T2931101C/TSK,日本株ﾌｧﾝﾄ,G03205,ニッセイ日本株ファンド,
T01315141/TSK,ﾒｷｼｺﾍﾟｿ年2,G07473,日本ブランド株投資(メキシコペソ)年２,
T01313141/TSK,ﾒｷｼｺﾍﾟｿ毎,G07473,日本ブランド株投資(メキシコペソ)毎月,
T47311057/TSK,日本ｲﾝｶﾑ3M,G11995,新光日本インカム株式ファンド(３ヵ月決算),
T35311156/TSK,日株FG毎月,G11148,ＧＳ 日本フォーカス・グロース 毎月決算,
T85311136/TSK,ﾆｯﾎﾟﾝの輝,G09246,日本復活成長株ファンド,
T4931108C/TSK,ﾀﾞｲﾔｾﾚｸﾄ日株,G07270,ダイヤセレクト日本株オープン,
T29312066/TSK,日本勝ち組3M,G04949,ニッセイ日本勝ち組ファンド(３ヵ月決算型),
T35312156/TSK,日株FG年2,G04949,ＧＳ 日本フォーカス・グロース 年２回決算,
T29311098/TSK,勝ち組毎月,G07612,ニッセイ日本勝ち組ファンド（毎月判定型）,
T29311033/TSK,日本勝ち組,G03576,ニッセイ　日本勝ち組ファンド,
T4731306A/TSK,配当生活,G11856,ＭＨＡＭ日本好配当株オープン,
T64312057/TSK,配当物語,G04493,ニュー配当利回り株オープン,
T01311054/TSK,日本好配当,G04357,日本好配当株投信,
T01311056/TSK,好配当ﾆｯﾎﾟ,G04436,好配当日本株式オープン,
T03315013/TSK,ﾌﾟﾛﾌｪｯｻｰ,G02633,三菱ＵＦＪ システムバリューオープン,
T59311063/TSK,四季絵巻,G04847,しんきん好配当利回り株Ｆ(３ヵ月決算型,
T35311141/TSK,株ﾌﾟﾗ米ﾄﾞﾙ,G10230,ＧＳ日本株・プラス（米ドルコース）,
T64311108/TSK,生きもの語り,G08030,生物多様性企業応援ファンド,
T01313159/TSK,関西の未来,G11283,関西応援ファンド,
T47313137/TSK,ｽﾄﾗﾃｼﾞｰ 米$,G09329,アクティブ･ストラテジー(通貨選)米ドル,
T32311066/TSK,日本･ｱｼﾞｱ成,G04978,フィデリティ・日本・アジア成長株投信,
